cve,description
CVE-2024-52779,
CVE-2024-52780,
CVE-2024-52781,
CVE-2024-52782,
CVE-2024-35369,"190, 682"
CVE-2024-36619,"190, 682"
CVE-2024-36625,"707, 74, 79"
CVE-2024-36626,"476, 703, 710, 754"
CVE-2024-47193,
CVE-2024-49803,"707, 74, 77, 78"
CVE-2024-49804,"250, 269, 284, 657, 710"
CVE-2024-49805,"1390, 1391, 284, 287, 330, 344, 657, 671, 693, 710, 798"
CVE-2024-49806,"1390, 1391, 284, 287, 330, 344, 657, 671, 693, 710, 798"
CVE-2024-36617,
CVE-2024-36618,
CVE-2024-36620,
CVE-2024-36621,
CVE-2024-36622,
CVE-2024-36623,
CVE-2024-36624,"707, 74, 79"
CVE-2024-49360,"22, 664, 668, 706"
CVE-2024-36611,
CVE-2024-36615,
CVE-2024-36616,
CVE-2024-52003,"601, 610, 664"
CVE-2024-52800,"610, 611, 664"
CVE-2024-52801,"327, 693"
CVE-2024-52809,"707, 74, 79"
CVE-2024-52810,"1321, 664, 913, 915"
CVE-2024-53848,"345, 349, 693"
CVE-2024-53861,697
CVE-2024-53864,"707, 74, 79"
CVE-2024-53865,"311, 312, 664, 693, 922"
CVE-2024-53979,"311, 312, 664, 693, 922"
CVE-2024-53980,"691, 834, 835"
CVE-2024-53983,"441, 610, 664, 918"
CVE-2024-35366,
CVE-2024-35367,
CVE-2024-35368,
CVE-2024-35371,
CVE-2024-36610,
CVE-2024-36612,
CVE-2024-53504,
CVE-2024-53505,
CVE-2024-53506,
CVE-2024-53507,
CVE-2024-11995,"707, 74, 79"
CVE-2024-54159,
CVE-2024-53623,
CVE-2024-43702,"280, 703, 755"
CVE-2024-43703,"118, 119, 416, 664, 666, 672, 825"
CVE-2024-11252,"707, 74, 79"
CVE-2024-11996,"707, 74, 79"
CVE-2024-11997,"707, 74, 79"
CVE-2024-11998,"707, 74"
CVE-2024-12000,"707, 74, 79"
CVE-2024-12001,"707, 74, 79"
CVE-2024-12002,"404, 664"
CVE-2024-53738,"441, 610, 664, 918"
CVE-2024-53739,"664, 669, 706, 829, 98"
CVE-2024-53768,"200, 497, 664, 668"
CVE-2024-53783,"707, 74, 89, 943"
CVE-2024-53787,"707, 74, 79"
CVE-2024-53788,"707, 74, 79"
CVE-2024-53756,"707, 74, 79"
CVE-2024-53757,"707, 74, 79"
CVE-2024-53758,"707, 74, 79"
CVE-2024-53760,"707, 74, 79"
CVE-2024-53763,"707, 74, 79"
CVE-2024-53764,"707, 74, 79"
CVE-2024-53766,"707, 74, 79"
CVE-2024-53767,"707, 74, 79"
CVE-2024-53771,"707, 74, 79"
CVE-2024-53772,"707, 74, 79"
CVE-2024-53773,"707, 74, 79"
CVE-2024-53774,"707, 74, 79"
CVE-2024-53778,"345, 352, 693"
CVE-2024-53786,"707, 74, 79"
CVE-2024-45520,
